,0
feature_248,0.03232325865905219
feature_520,0.029469154067428418
feature_60,0.028537433578825665
feature_487,0.014861686488746785
feature_113,0.013706039408365405
feature_386,0.012441619451503998
feature_34,0.011531209767177787
feature_125,0.011200198388500808
feature_127,0.01086182273487466
feature_104,0.010239959226219533
feature_189,0.009981683251423578
feature_131,0.009758002428918201
feature_511,0.009207326251707771
feature_461,0.009060894325095076
feature_122,0.009024944765200701
feature_512,0.008998426694885802
feature_96,0.008993457867481108
feature_29,0.008458646688409632
feature_183,0.00833711868235079
feature_488,0.008319402721293471
